Source,Target,Type,Id,Tweet_type,Tweet_Sentiment_Group,Media_included,Source_device,Retweet_count,Like_count,Time,Weight
5183,2857,Directed,162,retweeted,Neutral,Yes,Web-App,195,0,2022-06-09 15:23:01+00:00,1
5182,0,Directed,163,Tweet,Neutral,Yes,Android,4,43,2022-06-09 14:58:57+00:00,1
407,1654,Directed,164,retweeted,Positive,Yes,Web-App,6,0,2022-06-08 21:42:25+00:00,1
3359,7056,Directed,165,retweeted,Neutral,No,Web-App,10,0,2022-06-08 19:18:39+00:00,1
1763,7056,Directed,166,retweeted,Neutral,No,Web-App,10,0,2022-06-08 18:42:43+00:00,1
5399,0,Directed,167,Tweet,Neutral,Yes,iphone,1,19,2022-06-08 14:33:13+00:00,1
9977,6904,Directed,168,replied_to,Neutral,Yes,Android,0,3,2022-06-08 14:25:31+00:00,1
2426,0,Directed,169,Tweet,Positive,No,Web-App,0,25,2022-06-07 19:04:51+00:00,1
1308,1654,Directed,170,retweeted,Neutral,Yes,Android,3,0,2022-06-07 19:02:12+00:00,1
12117,1654,Directed,171,retweeted,Neutral,Yes,Android,3,0,2022-06-07 18:57:36+00:00,1
2426,7437,Directed,172,quoted,Neutral,No,Web-App,0,1,2022-06-07 18:51:56+00:00,1
1654,0,Directed,173,Tweet,Neutral,Yes,Web-App,3,8,2022-06-07 17:58:11+00:00,1
11202,2857,Directed,174,retweeted,Neutral,Yes,Web-App,195,0,2022-06-07 14:27:27+00:00,1
4393,9225,Directed,175,quoted,Neutral,Yes,Android,0,0,2022-06-07 13:00:48+00:00,1
2698,3191,Directed,176,retweeted,Neutral,Yes,Android,10,0,2022-06-07 00:44:35+00:00,1
1654,3526,Directed,177,retweeted,Neutral,Yes,Web-App,23,0,2022-06-07 00:01:16+00:00,1
1308,3526,Directed,178,retweeted,Neutral,Yes,Android,23,0,2022-06-06 23:49:30+00:00,1
143,4788,Directed,179,retweeted,Positive,Yes,Web-App,59,0,2022-06-06 15:54:41+00:00,1
6643,2857,Directed,180,retweeted,Neutral,Yes,Android,195,0,2022-06-06 03:41:15+00:00,1
4325,2857,Directed,181,retweeted,Neutral,Yes,Android,195,0,2022-06-06 02:36:26+00:00,1
965,2857,Directed,182,retweeted,Neutral,Yes,Android,195,0,2022-06-05 21:44:37+00:00,1
4082,1654,Directed,183,retweeted,Positive,Yes,Android,6,0,2022-06-05 16:42:48+00:00,1
4393,0,Directed,184,Tweet,Neutral,Yes,Android,0,1,2022-06-05 16:02:30+00:00,1
12117,1654,Directed,185,retweeted,Positive,Yes,Android,6,0,2022-06-05 15:55:49+00:00,1
